id,review_id,body,created_at,user_username
2,15,yayyyyyyyy,2024-08-11 15:56:07.844245,bigboydeluxe
3,15,"This is a comment
",2024-08-11 16:26:53.856535,bigboydeluxe
4,15,I agree with your take on the issue,2024-08-11 16:27:32.509307,bigboydeluxe
5,32,Wow such a great review,2024-08-11 16:28:46.104235,bigboydeluxe
6,130,"I really enjoyed this review, very insightful!",2024-01-23 07:26:40.669448,user1
7,131,Great review! I found it very helpful.,2024-06-02 01:44:51.558562,user2
8,132,"I disagree with some points, but overall good review.",2023-11-24 19:49:12.401083,user3
9,133,"Not a fan of this review, seemed a bit harsh.",2023-11-13 20:40:46.990617,user4
10,134,This review captured the essence of the movie perfectly.,2023-10-11 02:56:03.263301,user5
11,6,Very detailed and well-written review!,2024-05-08 19:17:32.294409,user6
12,7,"I liked this review, but I wish it was more critical.",2024-06-07 13:32:44.333491,user7
13,8,"Good review, but I had a different experience with the movie.",2023-12-31 20:50:50.324783,user8
14,9,"This review was quite comprehensive, thanks for sharing!",2023-11-10 21:19:27.525679,user9
15,10,"Interesting perspective on the film, thanks for the review.",2024-06-02 18:56:18.761462,user10
16,11,I found this review to be quite informative.,2023-10-27 10:59:43.818051,user11
17,12,"The review was good, but I think it missed some key details.",2024-05-08 23:16:37.639094,user12
18,13,"Great review, very engaging and well-written.",2023-10-22 08:45:21.924819,user13
19,14,"I liked the review, but the analysis could be deeper.",2024-08-08 07:20:40.309268,user14
20,15,"The review was good, though I expected more depth.",2023-09-20 12:31:02.965647,user15
21,16,"Excellent review, very detailed and insightful.",2024-06-06 18:37:14.226865,user16
22,17,"The review was okay, but I didn’t agree with all the points.",2023-11-27 09:46:17.769686,user17
23,18,"Interesting take on the movie, enjoyed reading it.",2023-08-21 11:22:30.413301,user18
24,19,I found the review to be quite informative and helpful.,2024-06-16 19:48:10.98332,user19
25,20,"The review was decent, though I think it could have been better.",2023-12-18 06:15:37.450898,user20
26,21,"I appreciated the review, but I had a different view on the film.",2024-08-02 20:30:30.280029,user21
27,22,Good review with a fair amount of detail.,2024-04-06 09:40:17.137937,user22
28,23,"The review was insightful, but it missed a few key points.",2024-02-19 21:51:19.221437,user23
29,24,"I enjoyed this review, it was quite thorough.",2024-04-12 00:09:44.775989,user24
30,25,"The review was okay, but I would have liked more analysis.",2024-02-02 10:57:02.181793,user25
31,26,"Interesting review, though I didn’t fully agree with it.",2024-01-08 13:40:35.321577,user26
32,27,"Great review, very detailed and engaging.",2023-08-16 19:25:31.232452,user27
33,28,"The review was good, but I had a different experience with the film.",2024-02-16 13:57:01.232931,user28
34,29,"I found this review to be quite useful, thanks!",2023-12-11 15:09:03.393415,user29
35,30,"The review was decent, though it could have been more critical.",2023-11-22 05:02:59.707409,user30
76,130,This review was quite insightful and detailed.,2023-11-14 21:46:14.242157,user1
77,131,I found the review very balanced and well-written.,2023-12-11 08:20:30.936921,user2
78,132,"Not quite sure I agree with all points made, but a good read.",2024-01-30 03:50:55.906967,user3
79,133,"The review was okay, but I expected a bit more depth.",2024-06-04 13:58:35.411398,user4
80,134,Excellent review! Covered all aspects I was curious about.,2024-07-12 22:22:14.589473,user5
